DCID,Gender,Married,Dependents,Education,SelfEmployed,ApplicantIncome,CoapplicantIncome,DebtConsolidationAmount,Tenor,CreditHistory,PropertyArea,FacilityStatus
DC000001,Male,No,0,Graduate,No,78500,64800,600000,36,1,Urban,Yes
DC000002,Male,Yes,1,Graduate,No,95200,92400,500000,36,1,Urban,Yes
DC000003,Male,Yes,0,Graduate,No,87000,65000,400000,36,1,Urban,Yes
DC000004,Male,Yes,0,Not Graduate,Yes,68000,52130,100000,36,0,Rural,No
DC000005,Male,No,0,Graduate,No,196000,63000,300000,36,1,Urban,Yes
DC000006,Male,Yes,2,Graduate,No,81000,58000,420000,24,1,Urban,Yes
DC000007,Male,Yes,0,Not Graduate,Yes,32570,37820,103000,36,0,Rural,No
DC000008,Male,Yes,3,Graduate,No,74000,75000,275000,36,1,Urban,Yes
DC000009,Male,Yes,2,Graduate,No,75000,403000,285000,36,1,Urban,Yes
DC000010,Male,Yes,1,Graduate,No,404000,76000,500000,24,1,Urban,Yes
DC000011,Male,Yes,2,Graduate,No,405000,77000,510000,36,1,Urban,Yes
DC000012,Male,Yes,2,Graduate,No,406000,78000,520000,36,1,Urban,Yes
DC000013,Male,Yes,2,Graduate,No,407000,79000,480000,36,1,Urban,Yes
DC000014,Male,No,0,Graduate,No,408000,80000,450000,36,1,Urban,Yes
DC000015,Male,Yes,2,Graduate,No,409000,81000,620000,12,1,Urban,Yes
DC000016,Male,No,0,Graduate,No,410000,82000,625000,36,1,Urban,Yes
DC000017,Male,No,1,Not Graduate,Yes,48520,37720,113000,24,0,Rural,No
DC000018,Female,No,0,Graduate,No,411000,83000,710000,36,1,Urban,Yes
DC000019,Male,Yes,0,Not Graduate,Yes,24600,37700,115000,36,0,Rural,No
DC000020,Male,Yes,0,Graduate,No,412000,84000,715000,24,1,Urban,Yes
DC000021,Male,Yes,0,Not Graduate,Yes,34500,37680,117000,36,0,Rural,No
DC000022,Male,Yes,1,Graduate,No,413000,85000,720000,36,1,Urban,Yes
DC000023,Male,Yes,0,Not Graduate,Yes,32000,37660,119000,36,0,Rural,No
DC000024,Male,Yes,1,Graduate,No,414000,86000,725000,36,1,Semiurban,Yes
DC000025,Male,Yes,0,Graduate,No,415000,87000,730000,36,1,Semiurban,Yes
DC000026,Male,Yes,0,Graduate,No,416000,88000,735000,36,1,Semiurban,Yes
DC000027,Male,Yes,2,Not Graduate,Yes,45000,37620,123000,36,0,Rural,No
DC000028,Male,No,0,Not Graduate,Yes,25750,37610,124000,24,0,Rural,No
DC000029,Female,No,2,Graduate,Yes,277350,113232,1900000,36,1,Urban,Yes
DC000030,Male,Yes,1,Graduate,No,417000,89000,740000,36,1,Semiurban,Yes
DC000031,Male,No,0,Graduate,No,418000,90000,745000,36,1,Semiurban,Yes
DC000032,Male,No,1,Graduate,No,419000,91000,750000,36,1,Semiurban,Yes
DC000033,Male,Yes,0,Graduate,No,420000,92000,755000,36,1,Semiurban,Yes
